,Time,video_time_First Stimulation,data_ca_df_f_First Stimulation
105,,,0.6159633131669562
106,,,0.56011762733176
107,,,0.5424418576942723
108,,,0.5303365947644085
109,,,0.5451843886300645
110,,,0.5358086588590464
111,,,0.4354571556444794
112,,,0.4771540240900797
113,,,0.43173112625303983
114,,,0.4225980216516968
115,,,0.522620247850276
116,,,0.5128025936630638
117,,,0.524577849133864
118,,,0.4810775061332115
119,,,0.5671069420855169
120,,,0.7688406888587638
121,,,1.1107899507092363
122,,,1.2951671851978817
123,,,1.478241599188356
124,,,1.5521517746925606
125,,,1.5660283279056357
126,,,1.6256680742322014
127,,,1.7551400413928229
128,,,1.6991883632966336
129,,,1.6017184293218625
130,,,1.5106801701560773
131,,,1.4617354276285202
132,,,1.2773102883007967
133,,,1.282591441590488
134,,,1.1554556148350148
135,,,1.1475616140594487
136,,,1.0963326276820216
137,,,1.0299317601798545
138,,,0.9633193699558306
139,,,0.8407009431323319
140,,,0.8221943624517786
141,,,0.7904897327734152
142,,,0.7358813231300998
143,,,0.6899528125130713
144,,,0.6255037660378368
145,,,0.6696843268764026
146,,,0.528078466062962
147,,,0.6222461585430088
148,,,0.6182945229917421
149,,,0.5375429335373795
150,,,0.4904632738246204
151,,,0.50832971644139
152,,,0.4274514378646556
153,,,0.4846726698495315
154,,,0.5736396340448746
155,,,0.5089784978463595
156,,,0.5360826507117241
157,,,0.5026510541680735
158,,,0.44976112256405787
159,,,0.39485662024137186
160,,,0.4124915524155297
161,,,0.46323888383158995
162,,,0.3808862469028149
163,,,0.40227782681285035
164,,,0.3488593127609642
165,,,0.36349435277885095
166,,,0.3340627474684101
167,,,0.43039195689494003
168,,,0.2520843592399519
169,,,0.35008744969519956
170,,,0.3231014920740192
171,,,0.27890348523087893
172,,,0.28022092692336076
173,,,0.2905101639642684
174,,,0.43552444905253945
175,,,0.5149421727292043
176,,,0.5301613035857625
177,,,0.5163029617196698
178,,,0.5043822891939311
179,,,0.4774015395160016
180,,,0.37113667713738036
181,,,0.29706112329550843
182,,,0.2484978180629378
183,,,0.23814693354442307
184,,,0.26064893612218454
185,,,0.25061171654239395
186,,,0.16003178554601513
187,,,0.1710344461658502
188,,,0.197935314044184
189,,,0.17308469232437926
190,,,0.08351615575212333
191,,,0.16483758098748785
192,,,0.154705167808185
193,,,0.2128157645245035
194,,,0.3310962284202354
195,,,0.3461012938168654
196,,,0.4855951768965866
197,,,0.6381755835727717
198,,,0.6475168160629542
199,,,0.6120297027112359
200,,,0.5957281949649199
201,,,0.64076348205877
202,,,0.5307677182997212
203,,,0.4770909946710122
204,,,0.42810882939621747
205,,,0.4179737826949425
206,,,0.3859192372360389
207,,,0.3145880708740039
208,,,0.32404771952911465
209,,,0.31611973723700487
210,,,0.23087585718489909
211,,,0.19393593637263606
212,,,0.22565208317910632
213,,,0.18189817859395865
214,,,0.131784709373714
215,,,0.16687507199029117
216,,,0.1808709883439794
217,,,0.14537605228050743
218,,,0.08333911870592786
219,,,0.10470131568383809
220,,,-0.0010158187869050664
221,,,0.09512291701039431
222,,,0.008075128505384825
223,,,0.014224940832349172
224,,,-0.003578881142606805
225,,,0.0027059833029466547
226,,,0.014508220885974787
227,,,0.03497026382925451
228,,,-0.0017968519680552466
229,,,-0.02864916588846998
230,,,0.012433029795461884
231,,,0.01101333557322215
232,,,-0.06537016632821294
233,,,-0.05535325187384821
234,,,-0.015387706633858819
235,,,-0.020872140230214456
236,,,-0.06001419694222234
237,,,-0.0060592285888864846
238,,,-0.018348971380479636
239,,,-0.06454667780023161
240,,,-0.03953239027427116
241,,,-0.0416569906764629
242,,,-0.0696654824901634
243,,,-0.09091148651208132
244,,,-0.051644259543820244
245,,,-0.01937009715517648
246,,,-0.05397967300917527
247,,,0.09519692081169624
248,,,0.10724949890723078
249,,,0.32668283998135617
250,,,0.44536730058813545
251,,,0.46669565346285163
252,,,0.4497153200158768
253,,,0.4475874256595732
254,,,0.40071116469276474
255,,,0.42461538968300644
256,,,0.3577349453944757
257,,,0.35167736378264514
258,,,0.34025393092248823
259,,,0.24584591212059817
260,,,0.2009591994373927
261,,,0.17770388340720034
262,,,0.19746760807875194
263,,,0.14484669114074572
264,,,0.1323790748271085
265,,,0.17245990846101517
266,,,0.1188409234270958
267,,,0.08147101402730356
268,,,0.2844115268630193
269,,,0.4742519841956081
270,,,0.6011219207705217
271,,,0.6620699537034749
272,,,0.7456803909264741
273,,,0.8850377075396965
274,,,0.9083786663767985
275,,,0.9014448929711961
276,,,0.8801297159129278
277,,,0.7863442544381912
278,,,0.8488371518496377
279,,,0.7165354849441591
280,,,0.6504785291836099
281,,,0.6082302737440566
282,,,0.5543692772165114
283,,,0.5218013894564772
284,,,0.4035275847977114
285,,,0.412843503436259
286,,,0.3360507275894814
287,,,0.299595630453026
288,,,0.32655255503806074
289,,,0.2821089776558662
290,,,0.20811602165265136
291,,,0.23104389036235312
292,,,0.18182722041926577
293,,,0.20390555993220194
294,,,0.1520776179366765
295,,,0.13916600137589794
296,,,0.13539775388042008
297,,,0.11691180600190962
298,,,0.13995076373953394
299,,,0.09328743758917224
300,,,0.11035325765346375
301,,,0.055673218482836996
302,,,0.019553364647251013
303,,,0.011303635538467765
304,,,0.018083602994623926
305,,,0.041203138279357975
306,,,0.04212865764638879
307,,,0.07316891681641016
308,,,0.06736059095487766
309,,,0.08487473817948808
310,,,0.06942379193586667
311,,,0.10384019816568832
312,,,0.03925985509011047
313,,,0.1178982531360039
314,,,0.077080081716288
315,,,0.1441725487880923
316,,,0.11221599469655882
317,,,0.11044490115699142
318,,,0.12764849204914297
319,,,0.1319224851394183
320,,,0.10487026124859634
321,,,0.10202913202887363
322,,,0.11169020130199979
323,,,0.06887647483509761
324,,,0.042752845126479457
325,,,0.1901471852526944
326,,,0.3883466964800745
327,,,0.5806487122059092
328,,,0.8157952025503747
329,,,0.9200867835834388
330,,,1.0752081342390507
331,,,1.1226525323562802
332,,,1.2483509766227951
333,,,1.3722691029042242
334,,,1.4163373539616533
335,,,1.6110930721954304
336,,,1.7287139770028426
337,,,1.811306587361034
338,,,1.8805944724662602
339,,,2.0181832270062245
340,,,2.0130944078951414
341,,,2.2114415102508187
342,,,2.2703857171145443
343,,,2.4078576286779403
344,,,2.65391048844054
345,,,2.9761726422624735
346,,,2.906318991165441
347,,,2.9596332114476596
348,,,2.9727472981599075
349,,,3.2410064731009016
350,,,3.363027438420676
351,,,3.5102096162999645
352,,,3.3287463240584607
353,,,3.3481791559509357
354,,,3.203914977670692
355,,,3.079424935767111
356,,,2.985126504045842
357,,,2.8000810521279567
358,,,2.641728070725669
359,,,2.5494651666488326
360,,,2.348648987709349
361,,,2.2567550614532563
362,,,2.1425472014877185
363,,,1.9821142530765097
364,,,1.8166769222085963
365,,,1.64729894185225
366,,,1.680464976286916
367,,,1.561941853512159
368,,,1.4385970360465354
369,,,1.3672381253640369
370,,,1.3814164232218393
371,,,1.2490476177505223
372,,,1.113624720284959
373,,,1.079239487208258
374,,,1.0333406157949057
375,,,0.9473252020883086
376,,,0.8568649756288657
377,,,0.8476046979410723
378,,,0.7759603432299472
379,,,0.6239447336502459
380,,,0.6039174620872537
381,,,0.564685585999593
382,,,0.539722312206661
383,,,0.45528628927941833
384,,,0.48503816876491185
385,,,0.45942400902176284
386,,,0.37967758258456386
387,,,0.3554727170769631
388,,,0.3021744697038098
389,,,0.33000423060742473
390,,,0.29264283931675167
391,,,0.18253235009541338
392,,,0.18956363881928615
393,,,0.19101195720282488
394,,,0.1962120212760946
395,,,0.1622849894231993
396,,,0.09003177751499367
397,,,0.11210702120542558
398,,,0.04988881403204599
399,,,0.06777102757506234
400,,,0.14909048935959718
401,,,0.2277363055164258
402,,,0.45431599428994096
403,,,0.6282207418365472
404,,,0.7912601233410441
405,,,0.8083502546441341
406,,,0.8594145304984051
407,,,1.091641853978903
408,,,1.0393025907272788
409,,,1.0535482928713777
410,,,0.9815748126092427
411,,,0.923019617727566
412,,,1.1344584630895564
413,,,1.0957612705352475
414,,,1.0752054113645253
415,,,0.9220170392810283
416,,,1.0812155611181131
417,,,1.2001475343786816
418,,,1.2395889006222052
419,,,1.4140880912090057
420,,,1.5631658719276584
421,,,1.7441564668123626
422,,,1.8670177871909728
423,,,1.7988155975103375
424,,,1.8859545585698274
425,,,1.94834828134309
426,,,2.113951616693972
427,,,2.109521886614208
428,,,1.940566833771777
429,,,1.8831317079363923
430,,,1.8607360425144364
431,,,1.7121593044946382
432,,,1.6117468228539784
433,,,1.519099606141258
434,,,1.4318714788632907
435,,,1.3204552261156033
436,,,1.2162870672338777
437,,,1.204447830517803
438,,,1.1853014723197166
439,,,1.0287426469744854
440,,,1.0111017764350991
441,,,0.9628458764939185
442,,,0.8340808686584287
443,,,0.8147847662996057
444,,,0.7360441320600248
445,,,0.6407205280184981
446,,,0.6504570319080085
447,,,0.5507085970086597
448,,,0.5798579143249463
449,,,0.5412528436501401
450,,,0.5436705641422098
451,,,0.5632193201518599
452,,,0.5193818498703096
453,,,0.46729085360583483
454,,,0.408828381694417
455,,,0.3355611751365748
456,,,0.37211158349700496
457,,,0.3269189288482599
458,,,0.2581438817212358
459,,,0.24647946081231437
460,,,0.27042084550186096
461,,,0.23739526301080213
462,,,0.2186949842451698
463,,,0.23499233785581722
464,,,0.20759768287110358
465,,,0.19050056817400857
466,,,0.09558995021359681
467,,,0.11349610344704673
468,,,0.15899681758822073
469,,,0.04193154655952791
470,,,0.12847104681318772
471,,,0.04090905999337979
472,,,0.06724066880192135
473,,,0.060502207530715967
474,,,0.06801059487069362
475,,,0.052234220198785174
476,,,0.21964939612892023
477,,,0.41926836455675387
478,,,0.4979931880326845
479,,,0.7254785167181028
480,,,0.8795929952325365
481,,,0.9719526040583973
482,,,0.9551910982983788
483,,,1.0251582491736322
484,,,0.9376871749067409
485,,,0.8607441537466961
486,,,1.10475684109293
487,,,1.0876983682802637
488,,,1.0540725604727716
489,,,0.9619927859849827
490,,,0.9690057771513548
491,,,1.1000938872758754
492,,,1.1287483524039483
493,,,1.201353941323879
494,,,1.4628020212034474
495,,,1.567168807494535
496,,,1.6505565847875203
497,,,1.7927952366484754
498,,,1.8978330542604493
499,,,1.8481967246818456
500,,,1.7191959502831469
501,,,1.92037685118981
502,,,1.8549826958812545
503,,,1.7868817123180636
504,,,2.0603155591803066
505,,,1.9689433623217887
506,,,1.933716740154228
507,,,1.710265031218193
508,,,1.7719810717769877
509,,,1.7001227867547293
510,,,1.6665190235369314
511,,,1.3633030197692282
512,,,1.3547562210069901
513,,,1.3444345060540503
514,,,1.233499146041623
515,,,1.2118462543613928
516,,,1.1176227864448647
517,,,1.0206361423375252
518,,,0.9956884616905974
519,,,0.8291855476026229
520,,,0.8358725133058704
521,,,0.8341634133428618
522,,,0.7631441496724848
523,,,0.7099762273251308
524,,,0.6849333878779383
525,,,0.6222776568324272
526,,,0.5737241996355881
527,,,0.5641276984555343
528,,,0.4808546628676794
529,,,0.48674567087199
530,,,0.4125370624073168
531,,,0.4407993385232508
532,,,0.3927966731459113
533,,,0.35321269899928776
534,,,0.3291246080375027
535,,,0.3273238781596764
536,,,0.27414050997828326
537,,,0.24939321838737874
538,,,0.2187867188996093
539,,,0.24543441416106831
540,,,0.21230903994706168
541,,,0.1883278963135338
542,,,0.17818786523755387
543,,,0.1916040153410357
544,,,0.10338053336101055
545,,,0.11150369448516476
546,,,0.1396612483223728
547,,,0.10253505766349681
548,,,0.06660491745426651
549,,,0.07432355004952598
550,,,0.13192338875551152
551,,,0.11676941086143301
552,,,0.2837409759292841
553,,,0.5489241944182922
554,,,0.7091656909600981
555,,,1.0599200251171312
556,,,1.2538737818188428
557,,,1.248645300241275
558,,,1.4094838230082152
559,,,1.4920370196448491
560,,,1.4353443901345162
561,,,1.3499052909208453
562,,,1.3829504351776047
563,,,1.3374558896678967
564,,,1.22278141581264
565,,,1.3122615665967716
566,,,1.4886403505726205
567,,,1.5065848487725655
568,,,1.4892532206840619
569,,,1.69052734986932
570,,,1.8390535532884533
571,,,1.9840148395032877
572,,,2.1206887400920253
573,,,2.3204827292681744
574,,,2.4037761439195533
575,,,2.394597945909143
576,,,2.555880689510858
577,,,2.730749870609382
578,,,2.9166362698721504
579,,,2.919384658447644
580,,,2.8307330692671666
581,,,2.810811477784535
582,,,2.734813293816937
583,,,2.62643280460377
584,,,2.6621130980470165
585,,,2.7015191754932015
586,,,2.5000197386870098
587,,,2.4717491743783673
588,,,2.3884421161827145
589,,,2.1928946238789937
590,,,2.1102467527415647
591,,,1.9037618583879352
592,,,1.8797066675331646
593,,,1.7028008812933046
594,,,1.6828093848425887
595,,,1.5248715837109978
596,,,1.4876478630794514
597,,,1.448337670843315
598,,,1.3178728380216116
599,,,1.2799594128353273
600,,,1.1819856228998507
601,,,1.1805018933849825
602,,,1.1484541315385457
603,,,0.9990733976633659
604,,,0.9407145018984743
605,,,0.90809495672726
606,,,0.8887021754916319
607,,,0.8629800864020463
608,,,0.7496355943169805
609,,,0.7906686825283149
610,,,0.7046002251109988
611,,,0.6944401396574199
612,,,0.6779752058292037
613,,,0.6096927130045628
614,,,0.6067861052227078
615,,,0.5619387950445317
616,,,0.522140357249795
617,,,0.4783873198211725
618,,,0.42178280605971546
619,,,0.4351673354875034
620,,,0.422946610154255
621,,,0.4128486319272243
622,,,0.3581148582389402
623,,,0.3415454628055376
624,,,0.33545742812707374
625,,,0.2929210049796288
626,,,0.28312593739279346
627,,,0.288789574707957
628,,,0.3053427494910594
629,,,0.2916787366423134
630,,,0.22859631073183423
631,,,0.26930145260142846
632,,,0.2447837614196218
633,,,0.24860248214846853
634,,,0.21483333999098345
635,,,0.3246172881992465
636,,,0.38338889362949474
637,,,0.5207654395727516
638,,,0.46939937294031475
639,,,0.5049403505307403
640,,,0.5026964886234951
641,,,0.506361693635294
642,,,0.4735332035512067
643,,,0.430457488882785
644,,,0.4143351402797616
645,,,0.4220674156818257
646,,,0.4527151795349522
647,,,0.333678084289807
648,,,0.32635137745418213
649,,,0.305837184423314
650,,,0.3269356003561056
651,,,0.25890085050856537
652,,,0.2536607835003011
653,,,0.22230156606320103
654,,,0.23194507392704306
655,,,0.23705929329251305
656,,,0.23673575237559477
657,,,0.23060041447272608
658,,,0.22796385810443243
659,,,0.2621549144187388
660,,,0.23910606504056073
661,,,0.13104039942854617
662,,,0.1863599709284755
663,,,0.1803515296049531
664,,,0.17769247970371949
665,,,0.12644202661941303
666,,,0.16250507571334138
667,,,0.13295583726522336
668,,,0.10179824299311008
669,,,0.16438351078010482
670,,,0.04426348332285028
671,,,0.069914647738823
672,,,0.07479606244939187
673,,,0.16843822823010496
674,,,0.32082537193753297
675,,,0.4968119640030643
676,,,0.5757088365160092
677,,,0.6041435461442064
678,,,0.8369108841088634
679,,,0.8566349712719531
680,,,0.8305672408531732
681,,,1.0632672279353808
682,,,1.1492697703066759
683,,,1.1592120395031185
684,,,1.1605669940577175
685,,,1.1203011977648127
686,,,1.096557589697241
687,,,1.0762970781024332
688,,,1.0248313250479677
689,,,0.9401898287577656
690,,,0.8446448893065936
691,,,0.8958139716814333
692,,,0.8004154117690958
693,,,0.6711146354820147
694,,,0.7831082534327986
695,,,0.6588185165769761
696,,,0.6690265493406737
697,,,0.6087741222082363
698,,,0.7037240131227379
